Key,en,es,cat
PAGE_home,,,
title,Home,Inicio,Inici
bottomBar_map,Map,Mapa,Mapa
bottomBar_vehicle,Vehicle,Vehículo,Vehícle
bottomBar_bike,Bike,Bici,Bici
bottomBar_favs,Favs,Favoritos,Preferits
bottomBar_highlight,Highlight,Destacados,Destacats
searchBar,Search:,Buscar:,Buscar:
car,Car,Coche,Cotxe
bike,Bike,Bicicleta,Bicicleta
foot,On foot,A pie,A peu
time,Estimated time,Tiempo estimado,Temps estimat
distance,Distance,Distancia,Distància
routeOptions,Route options,Opciones de ruta,Opcions de ruta
,,,
,,,
PAGE_settings,,,
title,Settings,Ajustes,Configuració
subtitle,Welcome to settings,Bienvenido a los ajustes,Benvingut a la configuració
logOut,Log Out,Cerrar sesión,Tancar sessió
setEN,English,Inglés,Anglès
setCAT,Catalan,Catalán,Català
setES,Spanish,Español,Espanyol
deleteAccount,Delete your account,Borrar tu cuenta,Esborrar el teu compte
deleteAccountTitle,Are you sure you want to delete you account?,¿Estás seguro de que quieres eliminar tu cuenta?,Segur que vols esborrar el teu compte?
deleteAccountSubtitle,This action is not reversible and you will lose future access to the app.,Esta acción no es reversible y perderás todo acceso futuro a la aplicación.,Aquesta acció no és reversible i perdràs accés futur a l'aplicació.
setLanguage,Set the language,Escoger idioma,Escollir idioma
confirmDeleteAccount,To delete your account you must write down below your userame,Para eliminar tu cuenta debes escribir debajo tu nombre de usuario,Per eliminar el teu compte cal escriure a sota el teu nom d'usuari
PAGE_signIn,,,
title,Log In,Iniciar sesión,Iniciar sessió
form_enterCredentials,Enter your credentials,Ingrese sus credenciales,Introdueix els credencials
otherSocial,Or Log In with,O inicie sesión con,O inicia sessió amb
pwdOrEmailMessage,There is an error with your password or email,Hay un error con el email o contraseña,Hi ha un error amb el email o la contrasenya
emptyFieldMessage,Please fill in all fields,Porfavor rellene todos los campos,Siusplau ompli tots els camps
banMessage,This user has been banned from the app,Este usuario está vetado de la app,Aquest usuari es troba vetat de la app
noAccount,Haven't got an account?,¿No tiene una cuenta?,No tens compte?
enterEmail,Enter your email,Ingrese su email,Introdueix el teu email
enterPassword,Enter your password,Ingrese su contraseña,Introdueix la teva contrasenya
PAGE_signUp,,,
title,Sign Up,Registrarse,Registrar-se
form_enterCredentials,Enter your credentials,Ingrese sus credenciales,Introdueix els credencials
form_email,Email:,Email:,Email:
form_password,Password:,Contraseña:,Contrasenya:
form_name,Name:,Nombre:,Nom:
goToSignIn,Go to Log In,Ir a Iniciar sesión,Anar a Inciar sessió
alreadyAccount,Already have an account?,¿Ya tiene cuenta?,Ja tens compte?
enterEmail,Enter your email,Ingrese su email,Introdueix el teu email
enterPassword,Enter your password,Ingrese su contraseña,Introdueix la teva contrasenya
enterName,Enter your name,Ingrese su nombre,Introdueix el teu nom
,,,
PAGE_miscelaneus,,,
loading,Loading...,Cargando...,Carregant...
cancel,Cancel,Cancelar,Cancel·lar
back,Back,Atrás,Enrere
exit,Exit,Salir,Sortir
accept,Accept,Aceptar,Acceptar
delete,Delete,Eliminar,Eliminar
vehicleWord,vehicle,vehículo,vehicle
PAGE_vehicleConfig,,,
title,Vehicle configuration,Configuracion del vehículo,Configuració del vehicle
vehicleBrand,Vehicle brand,Marca del vehículo,Marca del vehicle
vehicleBrandPlaceholder,Car's brand here,Introduce la marca,Introdueix la marca
vehicleModel,Vehicle model,Modelo del vehículo,Model del vehícle
vehicleModelPlaceholder,Car's model here,Introduce el modelo,Introdueix el model
vehicleNumPlate,Number plate,Matrícula,Matrícula
vehicleNumPlatePlaceholder,Car's number plate here,Introduce la matrícula,Introdueix la matrícula
vehicleColor,Vehicle Color,Color del vehículo,Color del vehicle
vehicleNickname,Vehicle Nickname,Apodo del vehículo,Sobrenom del vehicle
vehicleNicknamePlaceholder,Car's nickname here,Introduce el apodo,Introdueix el sobrenom
continue,Continue,Continuar,Continua
notEV,Don't have a vehicle to add?,¿No tienes un vehiculo para añadir?,No tens un vehicle per afegir?
cancel,Cancel,Cancelar,Cancel·lar
skip,Skip,Saltar,Salta
customize,Customize your,Personaliza tu,Personalitza el teu
errorNumberPlate,The numberplate already exists,La matrícula ya existe,La matrícla ja existeix
defaultVehicle,This vehicle is set as the default.,Este vehículo está marcado como predeterminado.,Aquest vehicle està marcat com a predeterminat.
PAGE_profile,,,
yourVehicle,Your Garage,Tu garaje,El teu garatge
changeVehicle,Swipe to change your default vehicle,Desliza para cambiar tu vehículo por defecto,Llisca per canviar el teu vehicle per defecte
title,Profile,Perfil,Perfil
vehicleNotDef,Vehicle not defined yet,Vehículo no definido,Vehicle no definit
addNewVehicle,Add a new vehicle,Añade un vehículo,Afegeix un vehicle
saveChanges,Save changes,Guardar cambios,Desa els canvis
deleteVehicle,Are you sure you want to delete your vehicle?,¿Estás seguro de que quieres eliminar tu vehículo?,Segur que vols eliminar el teu vehicle?
editProfile,Edit your profile,Edita tu perfil,Edita el teu perfil
PAGE_carInfoItem,,,
nickname,Nickname:,Apodo:,Sobrenom:
numberPlate,Number Plate:,Matricula:,Matricula:
,,,
PAGE_drawer,,,
home,Home,Inicio,Inici
profile,Profile,Perfil,Perfil
settings,Settings,Ajustes,Configuració
tellAFriend,Share it with a friend!,¡Compártelo con un amigo!,Comparteix amb un amic!
logOut,Log Out,Cerrar sesión,Tancar sessió
shareMessage,Check EcoRoads out | An app to plan your Eco-Friendly trips efficiently.,Descubre EcoRoads | Una aplicación para planear tus viajes 'Eco-Friendly' de forma eficiente.,Descobreix EcoRoads | Una aplicació per a planejar els teus viatges 'Eco-Friendly' de forma eficient.
achievements,Achievements,Logros,Assoliments
report,Report,Reporte,Incidència
help,Help,Ayuda,Ajuda
PAGE_locationInfo,,,
mechanical,Mechanical,Mecánicas,Mecàniques
electrical,Electrical,Eléctricas,Elèctriques
freeSlots,Free slots,Espacios libres,Espais lliures
getThere,Get there!,¡Llévame!,Porta-m'hi!
likesNumber,Likes,Me gustas,M'agrades
reportsNumber,Reports,Reportes,Incidències
report,Report,Reportar,Reportar
pollutionLevel,Pollution:,Contaminación:,Contaminació:
shareStation,Share,Compartir,Compartir
shareMessage,Hey! Check out,Ey! Echa un vistazo a,Ei! Fes-li una ullada a
shareMessage2, station. Meet you there!,. Nos vemos ahí!,. Ens veiem allà!
,,,
PAGE_uploadImage,,,
editImage,Edit Image,Editar Imagen,Editar Imatge
uploadImage,Upload Image,Añadir Imagen,Afegir Imatge
,,,
,,,
PAGE_achievementScreen,,,
subtitle,Your achievements:,Tus logros:,Els teus assoliments:
shareMessage,I have completed this achievement on EcoRoads. Check it out: ,He completado este logro en EcoRoads. Échale un vistazo: ,He completat aquest assoliment a EcoRoads. Fes-li una ullada: 
